locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1714,0.1064174033,Rv1714,oxidoreductase,Lipid transport and metabolism,Op1069,"senX3,regX3,csoR",https://mycobrowser.epfl.ch/genes/Rv1714
Rv1716,0.0934402,Rv1716,hypothetical protein,Transcription,Op1069,"csoR,Rv1719,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv1716
Rv2552c,0.0833686803,aroE,shikimate 5-dehydrogenase,Amino acid transport and metabolism,Op1611,"Rv0081,Rv0302,Rv0494,Rv1776c,Rv1816,Rv2034,devR,Rv3249c,lsr2",https://mycobrowser.epfl.ch/genes/Rv2552c
Rv1715,0.0774828121,fadB3,3-hydroxybutyryl-CoA dehydrogenase FadB,Lipid transport and metabolism,Op1069,"Rv1719,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv1715
Rv2551c,0.07679977040000001,Rv2551c,hypothetical protein,Cell motility,Op1611,"Rv0023,Rv0081,Rv0302,Rv0494,Rv1353c,Rv1719,Rv1776c,Rv1816,Rv2034,Rv2989,devR,Rv3249c,lsr2,Rv3736,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv2551c
Rv0273c,0.07570022300000001,Rv0273c,transcriptional regulator,Transcription,Op188,"Rv0047c,csoR,trcR,Rv1353c",https://mycobrowser.epfl.ch/genes/Rv0273c
Rv2550c,0.07513936510000001,vapB20,antitoxin VapB20,No COG annotation,Op1610,"Rv0023,Rv0328,Rv1776c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2550c
Rv1711,0.07355891070000001,Rv1711,RNA pseudouridine synthase,"Translation, ribosomal structure and biogenesis",Op1068,"Rv0081,Rv0302,tcrA,csoR,Rv1353c,Rv1776c,Rv2989,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv1711
Rv1713,0.0704585355,engA,GTPase Der,Function unknown,Op1068,"Rv0081,Rv0302,senX3,regX3,tcrA,csoR,Rv1353c,Rv1776c,Rv2034,Rv2989,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv1713
Rv0181c,0.0682982129,Rv0181c,hypothetical protein,Function unknown,Op125,"Rv0047c,Rv0135c,Rv0691c,Rv1776c,Rv2324,whiB4",https://mycobrowser.epfl.ch/genes/Rv0181c
