locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1786,0.1303841049,Rv1786,ferredoxin,Energy production and conversion,Op1119,"Rv0023,Rv1353c,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv1786
Rv1580c,0.11254155560000001,Rv1580c,phage protein,No COG annotation,Op1005,"Rv0023,Rv1353c,Rv2011c,Rv2034",https://mycobrowser.epfl.ch/genes/Rv1580c
Rv3242c,0.1060762906,Rv3242c,hypothetical protein,Function unknown,Op2034,"Rv0275c,Rv0324,sigL,csoR,mbcA,Rv2021c,Rv2250c,whiB4",https://mycobrowser.epfl.ch/genes/Rv3242c
Rv1684,0.1024146303,Rv1684,hypothetical protein,Function unknown,Op1057,"Rv1353c,Rv1719",https://mycobrowser.epfl.ch/genes/Rv1684
Rv1788,0.1008118752,PE18,PE family protein PE18,Lipid transport and metabolism,Op1121,,https://mycobrowser.epfl.ch/genes/Rv1788
Rv0583c,0.0916176571,lpqN,lipoprotein LpqN,Function unknown,Op386,"Rv0767c,Rv1353c,kstR",https://mycobrowser.epfl.ch/genes/Rv0583c
Rv1027c,0.08509759780000001,kdpE,transcriptional regulator KdpE,Transcription,Op670,"csoR,sigH",https://mycobrowser.epfl.ch/genes/Rv1027c
Rv1638A,0.08278344010000001,Rv1638A,hypothetical protein,Transcription,Op1035,"Rv0023,Rv0047c,Rv0081,Rv0324,csoR,Rv1049,Rv1353c,Rv1776c,Rv1816,Rv2011c,Rv2034,Rv2250c,Rv3488,lsr2",https://mycobrowser.epfl.ch/genes/Rv1638A
Rv0344c,0.0819454066,lpqJ,lipoprotein LpqJ,No COG annotation,Op236,"Rv0275c,Rv0324,Rv0653c,whiA,Rv2250c,sigH,kstR",https://mycobrowser.epfl.ch/genes/Rv0344c
Rv3192,-0.08785798900000001,Rv3192,hypothetical protein,Energy production and conversion,Op1993,"Rv0081,Rv0767c,csoR,trcR,Rv1353c,Rv1776c,cmtR,Rv2021c,lsr2",https://mycobrowser.epfl.ch/genes/Rv3192
Rv0603,-0.1112283178,Rv0603,hypothetical protein,No COG annotation,Op396,"tcrA,Rv1353c,Rv1719,Rv1776c,Rv3765",https://mycobrowser.epfl.ch/genes/Rv0603
