locus,gene_weight,gene_name,gene_product,COG,operon,regulator,devR,link
Rv2028c,0.2651840594,Rv2028c,universal stress protein,Signal transduction mechanisms,Op1274,"Rv0324,Rv0678,Rv0767c,mprA,mprB,clgR,devR",True,https://mycobrowser.epfl.ch/genes/Rv2028c
Rv2029c,0.253888653,pfkB,6-phosphofructokinase PfkB,Coenzyme transport and metabolism,Op1274,"Rv0324,Rv0678,Rv0767c,mprA,mprB,Rv2250c,clgR,devR",True,https://mycobrowser.epfl.ch/genes/Rv2029c
Rv2625c,0.23488873270000002,Rv2625c,zinc metalloprotease Rip3,Function unknown,Op1654,"Rv0485,sigB,devR",True,https://mycobrowser.epfl.ch/genes/Rv2625c
Rv2624c,0.23029355140000002,Rv2624c,universal stress protein,Signal transduction mechanisms,Op1654,"Rv0324,Rv1473A,devR",True,https://mycobrowser.epfl.ch/genes/Rv2624c
Rv1735a,0.2179231128,Rv1735a,hypothetical protein,Inorganic ion transport and metabolism,Op1083,,False,https://mycobrowser.epfl.ch/genes/Rv1735a
Rv1736c,0.19339935100000002,narX,nitrate reductase-like protein NarX,Energy production and conversion,Op1084,"Rv0047c,csoR,mprA,mprB,Rv1219c,Rv1776c,devR,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1736c
Rv2003c,0.1789052858,Rv2003c,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1259,"Rv0081,Rv0302,Rv0324,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2003c
Rv2004c,0.1619371583,Rv2004c,hypothetical protein,Function unknown,Op1260,"Rv0081,Rv0324,mprA,mprB,lysG,devR,sigH",True,https://mycobrowser.epfl.ch/genes/Rv2004c
Rv2630,0.1507548109,Rv2630,hypothetical protein,Function unknown,Op1658,"whiB5,Rv0023,Rv0047c,Rv0324,tcrA,Rv0767c,Rv1776c,Rv1816,devR",True,https://mycobrowser.epfl.ch/genes/Rv2630
Rv1997,0.15059513300000002,ctpF,cation transporter ATPase F,Inorganic ion transport and metabolism,Op1254,"Rv0324,Rv1473A,Rv1776c,Rv2034,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv1997
Rv2005c,0.1465243739,Rv2005c,universal stress protein,Signal transduction mechanisms,Op1260,"Rv0081,Rv0324,mprA,mprB,Rv1353c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2005c
Rv3132c,0.1405124765,devS,two component sensor histidine kinase DevS,Nucleotide transport and metabolism,Op1961,"Rv0485,phoP,Rv0767c,trcR,Rv1353c,Rv2011c,Rv2034,Rv2324,Rv3066,devR,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv3132c
Rv2631,0.1339131778,Rv2631,RNA-splicing ligase RtcB,Function unknown,Op1659,"Rv0081,csoR,Rv1049,marR,Rv1776c,devR",True,https://mycobrowser.epfl.ch/genes/Rv2631
Rv2030c,0.1303704763,Rv2030c,hypothetical protein,Function unknown,Op1274,"Rv0678,Rv0767c,mprA,mprB,clgR,devR",True,https://mycobrowser.epfl.ch/genes/Rv2030c
Rv1735c,0.12954340720000002,Rv1735c,membrane protein,Inorganic ion transport and metabolism,Op1082,"Rv0023,devR,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv1735c
Rv3133c,0.12780796090000002,devR,two component transcriptional regulator DevR,Transcription,Op1961,"phoP,Rv0767c,trcR,Rv2324,Rv3066,devR,Rv3249c,sigM",True,https://mycobrowser.epfl.ch/genes/Rv3133c
Rv2629,0.1274891514,Rv2629,hypothetical protein,"Translation, ribosomal structure and biogenesis",Op1658,"Rv0023,Rv0047c,Rv0324,Rv0767c",False,https://mycobrowser.epfl.ch/genes/Rv2629
Rv0570,0.1176578535,nrdZ,vitamin B12-dependent ribonucleoside-diphosphate reductase,Nucleotide transport and metabolism,Op376,"Rv0047c,Rv0324,Rv0767c,csoR,mprA,mprB,Rv2324",False,https://mycobrowser.epfl.ch/genes/Rv0570
Rv0572c,0.1093114495,Rv0572c,hypothetical protein,No COG annotation,Op378,"mprA,mprB,Rv1816,kstR",False,https://mycobrowser.epfl.ch/genes/Rv0572c
Rv2623,0.1077743942,TB31.7,universal stress protein,Signal transduction mechanisms,Op1653,"mprA,mprB,Rv1353c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2623
Rv2006,0.10712386,otsB1,trehalose-6-phosphate phosphatase OtsB,Carbohydrate transport and metabolism,Op1261,"Rv0023,Rv0081,Rv0324,Rv1353c,sigH,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv2006
Rv0574c,0.10291328400000001,Rv0574c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op379,"Rv0023,Rv0047c,Rv0653c,mprA,mprB,Rv2034,Rv2324,devR,kstR",True,https://mycobrowser.epfl.ch/genes/Rv0574c
