locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1932,0.0946880928,tpx,2-Cys peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",Op1217,"Rv0023,Rv0324,Rv1776c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv1932
Rv3774,0.0774259454,echA21,enoyl-CoA hydratase EchA21,Lipid transport and metabolism,Op2368,"Rv0023,Rv0302,Rv1353c,Rv1776c,kstR2",https://mycobrowser.epfl.ch/genes/Rv3774
Rv3224,0.0758855029,Rv3224,iron-regulated short-chain dehydrogenase/reductase,Lipid transport and metabolism,Op2021,"csoR,Rv1049,Rv1353c,whiA,Rv1776c,kstR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv3224
Rv0896,0.0710007644,gltA2,citrate synthase 1,Energy production and conversion,Op583,"trcR,Rv1816,Rv2011c,Rv3249c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0896
Rv3747,0.06847001,Rv3747,hypothetical protein,No COG annotation,Op2347,"Rv0678,Rv0691c,Rv2324",https://mycobrowser.epfl.ch/genes/Rv3747
Rv2288,0.0684555512,Rv2288,hypothetical protein,No COG annotation,Op1436,"Rv0324,Rv0691c",https://mycobrowser.epfl.ch/genes/Rv2288
Rv1233c,0.0653345764,Rv1233c,hypothetical protein,Function unknown,Op809,,https://mycobrowser.epfl.ch/genes/Rv1233c
Rv3678A,0.0652737882,Rv3678A,hypothetical protein,Function unknown,Op2295,"Rv0474,csoR,Rv1395,mbcA",https://mycobrowser.epfl.ch/genes/Rv3678A
Rv2054,0.0642464893,Rv2054,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1286,"whiB5,Rv0047c",https://mycobrowser.epfl.ch/genes/Rv2054
Rv2468A,0.0607854439,Rv2468A,hypothetical protein,No COG annotation,Op1563,,https://mycobrowser.epfl.ch/genes/Rv2468A
Rv1436,0.060470249600000005,gap,glyceraldehyde 3-phosphate dehydrogenase,Amino acid transport and metabolism,Op923,"Rv0081,Rv0135c,Rv1353c,Rv1816,devR,lsr2,ethR",https://mycobrowser.epfl.ch/genes/Rv1436
Rv0009,0.0596413832,ppiA,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,"Post-translational modification, protein turnover,and chaperones",Op6,"Rv1353c,Rv1473A,Rv1776c,Rv1816,devR,Rv3736,ideR",https://mycobrowser.epfl.ch/genes/Rv0009
Rv0199,0.0591660714,Rv0199,membrane protein,No COG annotation,Op140,"Rv0023,Rv0047c,Rv0273c,Rv0302,Rv1719,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv0199
Rv0379,0.058212467000000004,secE2,protein translocase subunit SecE,Function unknown,Op256,"mbcA,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv0379
Rv0613c,0.0578083691,Rv0613c,hypothetical protein,Function unknown,Op404,Rv1353c,https://mycobrowser.epfl.ch/genes/Rv0613c
Rv0462,0.0564286268,lpdC,dihydrolipoamide dehydrogenase,Energy production and conversion,Op307,"Rv0023,Rv0047c,Rv0135c,Rv0302,Rv0324,Rv1353c,Rv1473A,Rv1816,Rv2324,devR,Rv3249c,kstR",https://mycobrowser.epfl.ch/genes/Rv0462
Rv2193,0.056269575700000005,ctaE,cytochrome C oxidase subunit III,Energy production and conversion,Op1374,"Rv0135c,sigI,sigE,higA,cmtR,kstR,lsr2,espR",https://mycobrowser.epfl.ch/genes/Rv2193
Rv1400c,0.055500417,lipI,lipase,Lipid transport and metabolism,Op902,sigB,https://mycobrowser.epfl.ch/genes/Rv1400c
Rv1305,0.0548426523,atpE,ATP synthase subunit C,Energy production and conversion,Op855,"Rv0023,phoP,mprA,mprB,sigI,marR,whiA,Rv1816,blaI,mbcA,Rv3249c,lrpA,lsr2",https://mycobrowser.epfl.ch/genes/Rv1305
Rv1232c,0.0544154418,Rv1232c,hypothetical protein,Inorganic ion transport and metabolism,Op808,"Rv1776c,kstR2",https://mycobrowser.epfl.ch/genes/Rv1232c
Rv2863,0.053611114800000005,vapC23,ribonuclease VapC23,Carbohydrate transport and metabolism,Op1798,"Rv0023,Rv0324,Rv0678,whiA,Rv1719",https://mycobrowser.epfl.ch/genes/Rv2863
Rv1240,0.0515055904,mdh,malate dehydrogenase,Energy production and conversion,Op812,"Rv0324,csoR,whiA,Rv2034,Rv3736",https://mycobrowser.epfl.ch/genes/Rv1240
Rv1437,0.0506395399,pgk,phosphoglycerate kinase,Nucleotide transport and metabolism,Op923,"Rv0081,Rv0135c,Rv1353c,Rv1816,devR,Rv3167c,lsr2,ethR",https://mycobrowser.epfl.ch/genes/Rv1437
Rv2376c,0.050579549,cfp2,low molecular weight antigen MTB12,No COG annotation,Op1500,"Rv0081,Rv1816",https://mycobrowser.epfl.ch/genes/Rv2376c
Rv1919c,0.0500394615,Rv1919c,hypothetical protein,Function unknown,Op1207,"Rv0081,Rv0767c",https://mycobrowser.epfl.ch/genes/Rv1919c
Rv2104a,-0.0513758859,Rv2104a,hypothetical protein,No COG annotation,Op1316,,https://mycobrowser.epfl.ch/genes/Rv2104a
Rv1665,-0.0520171232,pks11,chalcone synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1048,"Rv0302,sigL,Rv1049",https://mycobrowser.epfl.ch/genes/Rv1665
Rv2058c,-0.0530808673,rpmB2,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",Op1287,"Rv0135c,Rv0767c,Rv1353c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2058c
