locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv3136,0.1745958508,PPE51,PPE family protein PPE51,Cell motility,Op1963,"Rv0324,phoP,Rv0767c,csoR,trcR,Rv1353c,Rv1776c,Rv2034,sigB,Rv3066,sigH,Rv3249c,sigM",https://mycobrowser.epfl.ch/genes/Rv3136
Rv3135,0.1675953422,PPE50,PPE family protein PPE50,Cell motility,Op1962,"phoP,mprA,mprB,trcR,Rv1353c,Rv2034,Rv3066,devR,sigH",https://mycobrowser.epfl.ch/genes/Rv3135
Rv3137,0.1360893062,Rv3137,histidinol-phosphatase,Carbohydrate transport and metabolism,Op1965,"Rv0465c,mprA,mprB,Rv1776c,Rv2324,sigH,sigM",https://mycobrowser.epfl.ch/genes/Rv3137
Rv2959c,0.12710573990000001,Rv2959c,rhamnosyl O-methyltransferase,Defense mechanisms,Op1851,"Rv0081,Rv0135c,Rv0328,Rv0465c,Rv0678,Rv0880,trcR,Rv1473A,lysG,Rv2912c,sigH,mtrA,lsr2",https://mycobrowser.epfl.ch/genes/Rv2959c
Rv2958c,0.1258192396,Rv2958c,PGL/p-HBAD biosynthesis glycosyltransferase,Energy production and conversion,Op1851,"csoR,trcR,Rv1473A,sigH,Rv3249c,kstR,lsr2",https://mycobrowser.epfl.ch/genes/Rv2958c
Rv2948c,0.1055039331,fadD22,p-hydroxybenzoyl--AMP ligase,Lipid transport and metabolism,Op1846,"Rv0302,Rv0576,tcrA,Rv1049,Rv3488,espR,PDIM;PGL Synthesis",https://mycobrowser.epfl.ch/genes/Rv2948c
Rv1169c,0.10075163300000001,lipX,lipase LipX,Lipid transport and metabolism,Op764,"Rv0081,Rv0324,csoR,pyrR,Rv2011c,sigH,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv1169c
Rv2960c,0.0998546528,Rv2960c,hypothetical protein,No COG annotation,Op1852,Rv1473A,https://mycobrowser.epfl.ch/genes/Rv2960c
Rv2947c,0.0992556463,pks15,polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1846,"Rv0023,Rv0135c,Rv0302,Rv0324,csoR,sigE,Rv1353c,Rv1473A,lsr2,PDIM;PGL Synthesis",https://mycobrowser.epfl.ch/genes/Rv2947c
Rv0699,-0.1305498173,Rv0699,hypothetical protein,No COG annotation,Op456,"Rv0047c,Rv1353c,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv0699
