locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv2821c,0.2738946876,Rv2821c,CRISPR type III-associated RAMP protein Csm3,"Replication, recombination and repair",Op1779,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,trcR,Rv1776c,Rv2011c,kstR",https://mycobrowser.epfl.ch/genes/Rv2821c
Rv2820c,0.27260318170000003,Rv2820c,CRISPR type III-associated RAMP protein Csm4,"Replication, recombination and repair",Op1779,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,trcR,Rv1473A,Rv1776c,Rv2011c,Rv2034,kstR",https://mycobrowser.epfl.ch/genes/Rv2820c
Rv2822c,0.2724703222,Rv2822c,CRISPR type III-associated protein Csm2,"Replication, recombination and repair",Op1779,"whiB5,Rv0081",https://mycobrowser.epfl.ch/genes/Rv2822c
Rv2823c,0.2651541371,Rv2823c,CRISPR-associated protein Cas10/Csm1,"Translation, ribosomal structure and biogenesis",Op1779,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,trcR,Rv1776c,Rv2011c,kstR",https://mycobrowser.epfl.ch/genes/Rv2823c
Rv2824c,0.2623510823,Rv2824c,CRISPR-associated endoribonuclease Cas6,"Replication, recombination and repair",Op1779,"Rv0023,Rv0047c,Rv0081,Rv0324,kstR",https://mycobrowser.epfl.ch/genes/Rv2824c
Rv2818c,0.25570316120000003,Rv2818c,CRISPR-associated protein Csm6,Function unknown,Op1778,"Rv0047c,Rv0324,Rv0678,Rv1255c,Rv1473A,Rv1776c,Rv2034,devR,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv2818c
Rv2817c,0.2490005918,Rv2817c,CRISPR-associated endonuclease Cas1,"Replication, recombination and repair",Op1778,"Rv0081,Rv0324,Rv1776c,lysG,Rv2034,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv2817c
Rv2816c,0.2479844988,Rv2816c,CRISPR-associated endoribonuclease Cas2,"Replication, recombination and repair",Op1778,"Rv0023,Rv1776c,Rv2034",https://mycobrowser.epfl.ch/genes/Rv2816c
Rv2819c,0.2478644357,Rv2819c,CRISPR type III-associated RAMP protein Csm5,"Replication, recombination and repair",Op1779,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0324,trcR,Rv1255c,Rv1473A,Rv1776c,Rv2011c,Rv2034,devR,Rv3249c,kstR",https://mycobrowser.epfl.ch/genes/Rv2819c
Rv2009,-0.0841797249,vapB15,antitoxin VapB15,Transcription,Op1264,"Rv0023,Rv0324,Rv0653c,mprA,mprB,lsr2",https://mycobrowser.epfl.ch/genes/Rv2009
Rv2837c,-0.1802555164,Rv2837c,bifunctional oligoribonuclease/PAP phosphatase NrnA,"Translation, ribosomal structure and biogenesis",Op1785,"Rv0302,tcrA,csoR,trcR,Rv1353c,Rv1473A,Rv1776c,mbcA,Rv2034,Rv2887,Rv3249c,kstR,espR",https://mycobrowser.epfl.ch/genes/Rv2837c
