locus,gene_weight,gene_name,gene_product,COG,operon,regulator,whiB6,link
Rv3874,0.43928764680000004,esxB,ESAT-6-like protein EsxB,Function unknown,Op2425,"Rv0081,Rv0678,sigE,Rv1353c,pyrR,Rv1776c,Rv2011c,whiB6",True,https://mycobrowser.epfl.ch/genes/Rv3874
Rv3875,0.42921721500000004,esxA,ESAT-6 protein EsxA,Function unknown,Op2425,"Rv0023,Rv0081,Rv0135c,Rv0302,Rv1049,sigE,Rv1353c,pyrR,Rv1776c,lysG,Rv2011c,bkaR,lsr2,whiB6",True,https://mycobrowser.epfl.ch/genes/Rv3875
Rv3872,0.3176647711,PE35,PE family protein PE35,Function unknown,Op2424,"Rv0023,Rv0047c,Rv0081,Rv0474,tcrA,mprA,mprB,trcR,Rv1049,Rv1255c,Rv1353c,lysG,sigC,Rv2324,Rv2989,Rv3066,Rv3160c,kstR,lsr2,whiB4,tcrX,ethR,whiB6",True,https://mycobrowser.epfl.ch/genes/Rv3872
Rv3873,0.2975368288,PPE68,PPE family protein PPE68,Cell motility,Op2424,"Rv0023,Rv0081,Rv0691c,Rv0767c,Rv1473A,Rv1776c,Rv2250c,lsr2,whiB4,whiB6",True,https://mycobrowser.epfl.ch/genes/Rv3873
Rv3878,0.2639609141,espJ,ESX-1 secretion-associated protein EspJ,No COG annotation,Op2427,"Rv0023,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv3878
Rv3879c,0.24061257330000002,espK,ESX-1 secretion-associated protein EspK,Cell wall/membrane/envelope biogenesis,Op2428,"Rv0047c,Rv0081,Rv0465c,Rv0474,Rv0880,csoR,mprA,mprB,trcR,Rv1049,sigI,Rv1674c,Rv1776c,lysG,vapB15,Rv2011c,sigC,Rv2250c,Rv2887,Rv2989,Rv3050c,Rv3160c,Rv3249c,Rv3488,kstR,lsr2,tcrX,Rv3830c,ethR,prpR",False,https://mycobrowser.epfl.ch/genes/Rv3879c
Rv3877,0.24060578900000001,eccD1,ESX-1 secretion system protein EccD1,Function unknown,Op2426,"whiB5,Rv0023,Rv0081,Rv0135c,Rv1816,Rv2011c,kstR,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv3877
Rv3876,0.23290860130000002,espI,ESX-1 secretion-associated protein EspI,"Cell cycle control, cell division, chromosome partitioning",Op2426,"Rv0135c,iniR,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv3876
Rv3290c,0.1051428853,lat,L-lysine-epsilon aminotransferase,Amino acid transport and metabolism,Op2060,"Rv0023,Rv0047c,Rv0081,Rv0302,Rv0324,trcR,sigI,Rv1353c,Rv1358,Rv1776c,Rv2021c,Rv2034,Rv2324,sigA,Rv3058c,sigH,sigF,lrpA,whiB3",False,https://mycobrowser.epfl.ch/genes/Rv3290c
Rv3289c,0.09396175300000001,Rv3289c,transmembrane protein,No COG annotation,Op2060,"Rv0023,Rv0081,Rv0302,Rv0324,Rv0560c,mce2R,phoP,trcR,sigI,Rv1332,Rv1353c,Rv1358,Rv1719,lysG,Rv2011c,Rv2021c,Rv2034,Rv2324,pimA,Rv3058c,sigH,sigF,lrpA,whiB3,Rv3587c,lsr2,tcrX,ethR",False,https://mycobrowser.epfl.ch/genes/Rv3289c
Rv3291c,0.0618721094,lrpA,transcriptional regulator LrpA,Transcription,Op2061,"Rv0023,Rv0081,lysG,lrpA",False,https://mycobrowser.epfl.ch/genes/Rv3291c
Rv3862c,0.056468953700000005,whiB6,transcriptional regulator WhiB6,Function unknown,Op2419,"Rv0023,Rv0081,Rv0135c,Rv0195,Rv0328,phoP,mprA,mprB,trcR,Rv1049,Rv1353c,marR,Rv2011c,sigH,whiB4,tcrX,whiB6,espL",True,https://mycobrowser.epfl.ch/genes/Rv3862c
Rv1986,0.054117297700000004,Rv1986,amino acid transporter,Function unknown,Op1245,"Rv0047c,mprA,mprB,Rv2324,sigH,lysG",False,https://mycobrowser.epfl.ch/genes/Rv1986
Rv3288c,0.0509069236,usfY,hypothetical protein,No COG annotation,Op2060,"Rv0023,Rv0081,Rv0324,trcR,Rv1719,Rv2011c,whiB1,sigH,lrpA",False,https://mycobrowser.epfl.ch/genes/Rv3288c
Rv1296,-0.0528003956,thrB,homoserine kinase,Amino acid transport and metabolism,Op850,"sigL,Rv1353c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv1296
Rv2422,-0.0547888344,Rv2422,hypothetical protein,No COG annotation,Op1531,"Rv0081,Rv0302,Rv1287,devR,lsr2,espR",False,https://mycobrowser.epfl.ch/genes/Rv2422
