locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv2641,0.3537380558,cadI,cadmium inducible protein CadI,Amino acid transport and metabolism,Op1668,"csoR,Rv1353c,sigH,Copper Induced,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv2641
Rv2642,0.2533559844,Rv2642,ArsR family transcriptional regulator,Transcription,Op1669,"Rv0023,Rv0081,csoR,Rv1353c,Rv1776c,Rv2250c,Rv3488,lsr2,Copper Induced,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv2642
Rv1994c,0.2011956818,cmtR,HTH-type transcriptional regulator CmtR,Transcription,Op1251,"Rv0047c,Rv1816,mbcA,devR,whiB4,Copper Induced,cmtR Co-transcription,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv1994c
Rv2643,0.1795478648,arsC,arsenic-transport integral membrane protein ArsC,Inorganic ion transport and metabolism,Op1669,"Rv0023,csoR,Rv1049,Rv1776c,Rv2011c,Rv2250c,lsr2,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv2643
Rv1993c,0.1601454608,Rv1993c,hypothetical protein,Function unknown,Op1250,"Rv0023,Rv0047c,Rv0081,Rv0324,csoR,whiA,mbcA,cmtR,Rv2989,devR,Rv3249c,lsr2,cmtR Co-transcription,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv1993c
Rv3054c,0.1573571669,Rv3054c,hypothetical protein,Function unknown,Op1915,"Rv0081,mprA,mprB,sigH,Rv3249c,whiB4,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv3054c
Rv3269,0.12126317160000001,Rv3269,hypothetical protein,Function unknown,Op2050,"mprA,mprB,Rv1816,MG2; Starvation,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv3269
Rv1992c,0.1158968712,ctpG,cation transporter ATPase G,Inorganic ion transport and metabolism,Op1250,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0767c,Rv1816,mbcA,cmtR,Rv2250c,Rv2989,devR,Rv3249c,lsr2,cmtR Co-transcription,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv1992c
Rv2640c,0.1132919274,Rv2640c,ArsR family transcriptional regulator,Transcription,Op1667,"csoR,Rv2642,whiB4,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv2640c
Rv1995,0.1059846955,Rv1995,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Op1252,"Rv0047c,Rv1816,mbcA,devR,Rv3249c,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv1995
Rv3270,0.1034957346,ctpC,manganese/zinc-exporting P-type ATPase,Inorganic ion transport and metabolism,Op2050,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv1186c,Rv1776c,Rv1816,cmtR,Rv3488,lsr2,tcrX,ethR,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv3270
Rv0327c,0.09166893350000001,cyp135A1,cytochrome P450 Cyp135A1,Energy production and conversion,Op225,"Rv0023,Rv0081,Rv1816,Rv3736,prpR",https://mycobrowser.epfl.ch/genes/Rv0327c
Rv3178,0.08460090270000001,Rv3178,nitroreductase,Inorganic ion transport and metabolism,Op1984,"Rv0023,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv3178
