locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv3832c,0.3742967183,Rv3832c,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op2398,,https://mycobrowser.epfl.ch/genes/Rv3832c
Rv3830c,0.30064011490000003,Rv3830c,TetR family transcriptional regulator,Transcription,Op2396,"Rv0023,Rv0324,Rv0678,kstR",https://mycobrowser.epfl.ch/genes/Rv3830c
Rv2504c,0.19047132900000002,scoA,succinyl-CoA:3-ketoacid-CoA transferase subunit A,Lipid transport and metabolism,Op1579,"Rv0023,mprA,mprB,trcR,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv2504c
Rv3829c,0.1745178281,Rv3829c,dehydrogenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2395,"Rv0047c,Rv0081,Rv0324,Rv0678,trcR,Rv1353c,Rv2034,kstR",https://mycobrowser.epfl.ch/genes/Rv3829c
Rv3797,0.1482510327,fadE35,acyl-CoA dehydrogenase FadE35,Lipid transport and metabolism,Op2379,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,trcR,Rv1353c,mbcA,Rv2011c,Rv2324,Rv2642,Rv3488",https://mycobrowser.epfl.ch/genes/Rv3797
Rv1405c,0.1416476746,Rv1405c,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op907,"Rv0023,Rv1776c,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv1405c
Rv2503c,0.1204868424,scoB,succinyl-CoA:3-ketoacid-CoA transferase subunit B,Lipid transport and metabolism,Op1579,"Rv0023,csoR,trcR,Rv1816,Rv2250c,bkaR,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv2503c
Rv0575c,0.0885559045,Rv0575c,oxidoreductase,Energy production and conversion,Op380,"Rv0081,Rv0576,Rv0678,marR,Rv1816,mbcA,Rv2021c,Rv2034,kstR,lsr2",https://mycobrowser.epfl.ch/genes/Rv0575c
Rv2590,0.0863961877,fadD9,fatty-acid--CoA ligase FadD9,Lipid transport and metabolism,Op1634,"Rv0023,Rv0047c,csoR,whiA,Rv1719,Rv1776c,Rv2034,Rv2250c,sigH,whiB4,Rv3830c,sigM",https://mycobrowser.epfl.ch/genes/Rv2590
Rv1403c,0.08399603850000001,Rv1403c,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op905,"Rv0023,Rv0678,csoR,Rv1719,Rv1816,lysG,Rv3249c,lsr2",https://mycobrowser.epfl.ch/genes/Rv1403c
Rv3828c,0.0779020321,Rv3828c,resolvase,"Replication, recombination and repair",Op2395,"Rv0047c,Rv0324,Rv1353c,Rv2324,whiB4",https://mycobrowser.epfl.ch/genes/Rv3828c
