locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1066,0.21632164140000001,Rv1066,hypothetical protein,Inorganic ion transport and metabolism,Op693,"csoR,Rv1816,devR",https://mycobrowser.epfl.ch/genes/Rv1066
Rv1065,0.20430665820000002,Rv1065,hypothetical protein,Function unknown,Op693,"Rv0135c,csoR",https://mycobrowser.epfl.ch/genes/Rv1065
Rv1790,0.1538999275,PPE27,PPE family protein PPE27,Cell motility,Op1122,"Rv1816,Rv2989,devR,lsr2,espR",https://mycobrowser.epfl.ch/genes/Rv1790
Rv2398c,0.1381821977,cysW,sulfate ABC transporter permease CysW,Inorganic ion transport and metabolism,Op1516,"Rv0081,Rv0324,Rv1473A,sigH,kstR,lsr2,whiB4",https://mycobrowser.epfl.ch/genes/Rv2398c
Rv2386a,0.1257979287,Rv2386a,hypothetical protein,No COG annotation,Op1507,,https://mycobrowser.epfl.ch/genes/Rv2386a
Rv2400c,0.1238800578,subI,sulfate ABC transporter substrate-binding lipoprotein SubI,Inorganic ion transport and metabolism,Op1516,"Rv0047c,Rv0081,Rv0678,sigL,csoR,Rv1353c,Rv1473A,Rv2011c,sigH,lrpA,lsr2",https://mycobrowser.epfl.ch/genes/Rv2400c
Rv0485,0.1204108207,Rv0485,transcriptional regulator,Carbohydrate transport and metabolism,Op324,"Rv0485,csoR,Rv1816,Rv2034",https://mycobrowser.epfl.ch/genes/Rv0485
Rv2399c,0.11119738970000001,cysT,sulfate ABC transporter permease CysT,"Post-translational modification, protein turnover,and chaperones",Op1516,"Rv0081,csoR,Rv1219c,Rv1473A,sigH,lsr2,whiB4",https://mycobrowser.epfl.ch/genes/Rv2399c
Rv2397c,0.1089905676,cysA1,sulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,Op1516,"Rv0081,Rv0324,Rv1219c,Rv1473A,sigH,lsr2,whiB4,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2397c
Rv0815c,0.10143811280000001,cysA2,thiosulfate sulfurtransferase CysA,Inorganic ion transport and metabolism,Op522,"Rv0081,Rv0678,trcR,Rv1719,Rv1776c,mbcA,Rv2011c,devR,Rv3249c,lsr2,Copper Induced",https://mycobrowser.epfl.ch/genes/Rv0815c
