locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv0681,link
Rv3538,0.1297316161,Rv3538,dehydrogenase,Lipid transport and metabolism,Op2213,"Rv0681,Rv0767c,whiA,Rv1473A,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3538
Rv3515c,0.12608050140000002,fadD19,acyl-CoA synthetase,Lipid transport and metabolism,Op2198,"Rv0681,mprA,mprB,Rv3249c,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv3515c
Rv3526,0.1246856001,kshA,3-ketosteroid-9-alpha-monooxygenase oxygenase subunit,Inorganic ion transport and metabolism,Op2207,"Rv0081,Rv0324,Rv0678,Rv1473A,mbcA,devR",False,https://mycobrowser.epfl.ch/genes/Rv3526
Rv3537,0.1237512444,kstD,3-oxosteroid 1-dehydrogenase,Energy production and conversion,Op2213,"Rv0023,Rv0681,Rv0767c,mprA,mprB,whiA,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv3537
Rv3529c,0.1233990018,Rv3529c,hypothetical protein,Function unknown,Op2209,"Rv0047c,Rv0328,Rv0681,Rv0691c,phoP,Rv0767c,Rv1353c,marR,cmtR,Rv2250c,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3529c
Rv3531c,0.1157824543,Rv3531c,hypothetical protein,Function unknown,Op2209,"Rv0023,Rv0047c,phoP,Rv0767c,trcR,Rv1353c,marR,Rv2011c,Rv2034,Rv2250c,Rv2887,mtrA,lsr2,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv3531c
Rv3545c,0.1142249476,cyp125,steroid C26-monooxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2215,"Rv0678,Rv0681,Rv1353c,Rv1816,Rv2034,Rv3488,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3545c
Rv3546,0.1091593218,fadA5,acetyl-CoA acetyltransferase FadA,Lipid transport and metabolism,Op2216,"Rv0678,Rv0681,mprA,mprB,Rv1353c,Rv1816,Rv2034,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv3546
Rv3570c,0.10846757970000001,hsaA,flavin-dependent monooxygenase oxygenase subunit HsaA,Lipid transport and metabolism,Op2228,"Rv0023,Rv0135c,Rv0681,mprA,mprB",True,https://mycobrowser.epfl.ch/genes/Rv3570c
Rv3530c,0.1075100595,Rv3530c,oxidoreductase,Lipid transport and metabolism,Op2209,"Rv0047c,Rv0681,Rv0767c,Rv1353c,marR,Rv2034,Rv2250c,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3530c
