locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv3251c,0.2641466521,rubA,rubredoxin RubA,Energy production and conversion,Op2039,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0678,mprA,mprB,trcR,Rv1255c,Rv1353c,lysG,sigH,Rv3249c,Rv3488,kstR,lsr2,whiB4,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv3251c
Rv3252c,0.2493355043,alkB,transmembrane alkane 1-monooxygenase AlkB,Lipid transport and metabolism,Op2039,"Rv0023,Rv0081,mprA,mprB,trcR,Rv1255c,Rv1353c,lysG,sigH,Rv3249c,Rv3488,kstR,lsr2,whiB4,tcrX",https://mycobrowser.epfl.ch/genes/Rv3252c
Rv3250c,0.2227746078,rubB,rubredoxin RubB,Energy production and conversion,Op2039,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0678,mprA,mprB,Rv1353c,sigH,Rv3249c,Rv3488,kstR,lsr2,whiB4,tcrX,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv3250c
Rv3742c,0.216745507,Rv3742c,oxidoreductase,Inorganic ion transport and metabolism,Op2342,"Rv0047c,Rv0081,Rv0302,Rv0324,Rv0653c,Rv1776c,Rv1816,Rv2021c,Rv2324,virS,devR,Rv3249c,kstR,Rv3736,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv3742c
Rv3249c,0.20595694620000002,Rv3249c,TetR family transcriptional regulator,Transcription,Op2039,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0653c,Rv0678,mprA,mprB,Rv1255c,Rv1353c,Rv2324,devR,Rv3249c,kstR,lsr2,whiB4,Rv3736,tcrX,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv3249c
Rv3741c,0.1933196073,Rv3741c,oxidoreductase,Inorganic ion transport and metabolism,Op2342,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0653c,csoR,Rv1353c,Rv1776c,Rv1816,Rv2021c,Rv2324,devR,Rv3249c,lsr2,Rv3736,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv3741c
Rv3740c,0.1313457528,Rv3740c,diacyglycerol O-acyltransferase,Lipid transport and metabolism,Op2342,"Rv0047c,Rv0273c,Rv0653c,csoR,Rv1353c,whiA,Rv1776c,Rv1816,lysG,mbcA,Rv2324,devR,kstR,lsr2",https://mycobrowser.epfl.ch/genes/Rv3740c
Rv3854c,0.1249346592,ethA,monooxygenase EthA,Inorganic ion transport and metabolism,Op2414,"whiB5,Rv0324,mprA,mprB,Rv1049,Rv1776c,Rv2250c,devR,sigH,Rv3249c,Rv3488,Rv3830c,ethR",https://mycobrowser.epfl.ch/genes/Rv3854c
Rv3855,0.1011370516,ethR,HTH-type transcriptional repressor EthR,Transcription,Op2415,"Rv0081,Rv0324,mprA,mprB,Rv1776c,Rv2021c,Rv2250c,devR,sigH,Rv3249c,Rv3488,ethR",https://mycobrowser.epfl.ch/genes/Rv3855
Rv0474,0.0928918546,Rv0474,HTH-type transcriptional regulator,Transcription,Op316,"Rv0324,Rv1776c,mbcA,Rv2011c,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv0474
Rv3739c,0.091819723,PPE67,PPE family protein PPE67,Cell motility,Op2341,"Rv0023,Rv0042c,Rv0767c,trcR,marR,Rv2011c,Rv2034,sigH,Rv3249c,lsr2",https://mycobrowser.epfl.ch/genes/Rv3739c
