locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv0827c,0.1141090389,kmtR,HTH-type transcriptional regulator KmtR,Transcription,Op532,"Rv0767c,mprA,mprB,Rv1816",https://mycobrowser.epfl.ch/genes/Rv0827c
Rv1982A,0.1082530842,vapB36,antitoxin VapB36,Function unknown,Op1240,,https://mycobrowser.epfl.ch/genes/Rv1982A
Rv3841,0.10119509260000001,bfrB,bacterioferritin BfrB,Inorganic ion transport and metabolism,Op2404,"Rv0081,Rv0324,sigI,sigH,lsr2,ideR",https://mycobrowser.epfl.ch/genes/Rv3841
Rv2009,0.0932266263,vapB15,antitoxin VapB15,Transcription,Op1264,"Rv0023,Rv0324,Rv0653c,mprA,mprB,lsr2",https://mycobrowser.epfl.ch/genes/Rv2009
Rv2063,0.0908032983,mazE7,antitoxin MazE7,No COG annotation,Op1292,,https://mycobrowser.epfl.ch/genes/Rv2063
Rv0623,0.09043425840000001,vapB30,antitoxin VapB30,Transcription,Op410,"Rv0023,Rv1776c,Rv2324",https://mycobrowser.epfl.ch/genes/Rv0623
Rv1721c,0.0900807428,vapB12,antitoxin VapB12,No COG annotation,Op1071,"Rv0081,Rv0324,Rv2034",https://mycobrowser.epfl.ch/genes/Rv1721c
Rv2830c,0.0856533225,vapB22,antitoxin VapB22,"Cell cycle control, cell division, chromosome partitioning",Op1782,"csoR,Rv1353c",https://mycobrowser.epfl.ch/genes/Rv2830c
Rv2601A,0.084845921,vapB41,antitoxin VapB41,No COG annotation,Op1640,"Rv1353c,mbcA,devR",https://mycobrowser.epfl.ch/genes/Rv2601A
Rv3181c,0.0831387333,Rv3181c,antitoxin VapB45,"Cell cycle control, cell division, chromosome partitioning",Op1987,"Rv0023,Rv1776c,Rv3183",https://mycobrowser.epfl.ch/genes/Rv3181c
Rv3173c,0.081476167,Rv3173c,TetR/Acr family transcriptional regulator,Transcription,Op1980,"Rv0324,csoR,Rv1353c,Rv3173c,mtrA,whiB4",https://mycobrowser.epfl.ch/genes/Rv3173c
Rv0608,0.0779974357,vapB28,antitoxin VapB28,Function unknown,Op400,"vapB27,Rv0767c",https://mycobrowser.epfl.ch/genes/Rv0608
Rv1960c,0.07784931590000001,parD1,antitoxin ParD1,Transcription,Op1230,Rv0047c,https://mycobrowser.epfl.ch/genes/Rv1960c
Rv0616A,0.07751772950000001,vapB29,antitoxin VapB29,No COG annotation,Op406,,https://mycobrowser.epfl.ch/genes/Rv0616A
Rv2104c,0.07460034980000001,vapB37,antitoxin VapB37,No COG annotation,Op1315,"csoR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2104c
Rv2526,0.0744006284,vapB17,antitoxin VapB17,Function unknown,Op1598,"Rv0047c,Rv1353c,Rv2011c",https://mycobrowser.epfl.ch/genes/Rv2526
Rv0298,0.0739427405,Rv0298,antitoxin,Function unknown,Op202,"Rv0324,Rv1776c,Rv2324,Rv3249c,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv0298
Rv0596c,0.0726670128,vapB4,antitoxin VapB4,"Cell cycle control, cell division, chromosome partitioning",Op390,"Rv0023,Rv1776c,Rv2021c",https://mycobrowser.epfl.ch/genes/Rv0596c
Rv0959A,0.0709345031,vapB9,antitoxin VapB9,No COG annotation,Op621,,https://mycobrowser.epfl.ch/genes/Rv0959A
Rv1593c,0.0703180466,Rv1593c,hypothetical protein,Nucleotide transport and metabolism,Op1011,"whiB5,Rv0494,Rv1776c,vapB15,Rv3249c,whiB4,tcrX",https://mycobrowser.epfl.ch/genes/Rv1593c
Rv1839c,0.06964319520000001,vapB13,antitoxin VapB13,No COG annotation,Op1159,"Rv2250c,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv1839c
Rv0599c,0.0691984532,vapB27,antitoxin VapB27,Transcription,Op392,"Rv0023,Rv0302,csoR,whiA,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0599c
Rv2550c,0.0686092572,vapB20,antitoxin VapB20,No COG annotation,Op1610,"Rv0023,Rv0328,Rv1776c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2550c
Rv3697A,0.06813255780000001,vapB48,antitoxin VapB48,No COG annotation,Op2310,,https://mycobrowser.epfl.ch/genes/Rv3697A
Rv3407,0.06776208410000001,vapB47,antitoxin VapB47,"Cell cycle control, cell division, chromosome partitioning",Op2135,"trcR,Rv1816,Rv2887,lsr2",https://mycobrowser.epfl.ch/genes/Rv3407
Rv2595,0.0671688204,vapB40,antitoxin VapB40,Transcription,Op1637,"Rv0324,Rv2720 ",https://mycobrowser.epfl.ch/genes/Rv2595
