locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv2219A,0.1089575213,Rv2219A,membrane protein,Function unknown,Op1391,"Rv0023,Rv0047c,Rv0081,Rv1049,higA,Rv3249c,lsr2,espR",https://mycobrowser.epfl.ch/genes/Rv2219A
Rv0416,0.1049514274,thiS,sulfur carrier protein ThiS,Coenzyme transport and metabolism,Op279,,https://mycobrowser.epfl.ch/genes/Rv0416
Rv1745c,0.1039595588,idi,isopentenyl-diphosphate delta-isomerase,Lipid transport and metabolism,Op1089,"csoR,Rv1353c,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv1745c
Rv0514,0.09799589110000001,Rv0514,transmembrane protein,No COG annotation,Op340,"Rv0081,Rv0767c,csoR,trcR,Rv1049,Rv1219,Rv1219c,Rv1353c,whiA,Rv1473A,Rv1776c,Rv1816,mbcA,Rv2034,whiB1,Rv3249c,kstR,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv0514
Rv1953,0.0969222966,vapC14,ribonuclease VapC14,Function unknown,Op1225,"Rv0023,Rv0047c,Rv0324,Rv0494,csoR,Rv1776c,Rv1816,higA,Rv2034,Rv2250c,pimA,Rv2887,devR,Rv3488,lsr2",https://mycobrowser.epfl.ch/genes/Rv1953
Rv3819,0.0944418892,Rv3819,hypothetical protein,No COG annotation,Op2389,"Rv0081,Rv0135c,Rv2034",https://mycobrowser.epfl.ch/genes/Rv3819
Rv3566A,0.0930611139,Rv3566A,hypothetical protein,No COG annotation,Op2227,Rv3249c,https://mycobrowser.epfl.ch/genes/Rv3566A
Rv2922A,0.0887022546,acyP,acylphosphatase,Energy production and conversion,Op1835,"Rv0576,csoR,Rv1219c,Rv1816,Rv2250c,devR,sigF,groEL1",https://mycobrowser.epfl.ch/genes/Rv2922A
Rv3836,0.0827225173,Rv3836,hypothetical protein,Function unknown,Op2401,"csoR,Rv1816,Rv2021c,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv3836
Rv0566c,0.0821566462,Rv0566c,hypothetical protein,Function unknown,Op373,"Rv0324,Rv0678,Rv1816",https://mycobrowser.epfl.ch/genes/Rv0566c
Rv0150c,0.08195672100000001,Rv0150c,hypothetical protein,No COG annotation,Op109,"Rv0023,whiA,Rv1473A,mbcA,Rv2021c,Rv2250c,Rv3488",https://mycobrowser.epfl.ch/genes/Rv0150c
Rv3355c,0.0816116139,Rv3355c,integral membrane protein,Function unknown,Op2102,"mprA,mprB,Rv2011c",https://mycobrowser.epfl.ch/genes/Rv3355c
Rv2231c,0.08034174300000001,cobC,aminotransferase,Amino acid transport and metabolism,Op1401,"Rv0302,Rv0576,Rv0767c,Rv0818,Rv2884,Rv3058c,espR",https://mycobrowser.epfl.ch/genes/Rv2231c
Rv2331,0.0794374609,Rv2331,hypothetical protein,Energy production and conversion,Op1469,"Rv0135c,Rv0678,Rv0691c,phoP,trcR,Rv1353c,sigH,whiB2,whiB4",https://mycobrowser.epfl.ch/genes/Rv2331
Rv0944,0.0792747159,Rv0944,formamidopyrimidine-DNA glycosylase,"Replication, recombination and repair",Op611,Rv2034,https://mycobrowser.epfl.ch/genes/Rv0944
Rv1913,0.078217484,Rv1913,hypothetical protein,Function unknown,Op1202,"whiB5,Rv0023,Rv0302,csoR,Rv1353c,Rv2250c,Rv2884,kstR",https://mycobrowser.epfl.ch/genes/Rv1913
Rv2816c,0.07712731760000001,Rv2816c,CRISPR-associated endoribonuclease Cas2,"Replication, recombination and repair",Op1778,"Rv0023,Rv1776c,Rv2034",https://mycobrowser.epfl.ch/genes/Rv2816c
Rv1946c,0.0759075609,lppG,lipoprotein,No COG annotation,Op1222,"Rv0767c,csoR",https://mycobrowser.epfl.ch/genes/Rv1946c
Rv2863,0.0738632902,vapC23,ribonuclease VapC23,Carbohydrate transport and metabolism,Op1798,"Rv0023,Rv0324,Rv0678,whiA,Rv1719",https://mycobrowser.epfl.ch/genes/Rv2863
Rv2308a,-0.0761755253,Rv2308a,hypothetical protein,No COG annotation,Op1455,,https://mycobrowser.epfl.ch/genes/Rv2308a
Rv3143,-0.084080083,Rv3143,response regulator,Signal transduction mechanisms,Op1969,"Rv0324,Rv0767c,Rv1816",https://mycobrowser.epfl.ch/genes/Rv3143
Rv1042c,-0.0849414046,Rv1042c,IS2-like transposase,"Replication, recombination and repair",Op677,"Rv0047c,mprA,mprB",https://mycobrowser.epfl.ch/genes/Rv1042c
Rv3192,-0.0849475693,Rv3192,hypothetical protein,Energy production and conversion,Op1993,"Rv0081,Rv0767c,csoR,trcR,Rv1353c,Rv1776c,cmtR,Rv2021c,lsr2",https://mycobrowser.epfl.ch/genes/Rv3192
Rv1554,-0.096235819,frdC,fumarate reductase membrane anchor subunit,Energy production and conversion,Op994,"Rv0081,Rv0678,csoR,Rv1816,Rv2021c,Rv2250c,devR",https://mycobrowser.epfl.ch/genes/Rv1554
