locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv0467,0.22038443400000002,icl1,isocitrate lyase,Energy production and conversion,Op310,"Rv0135c,mprA,mprB,sigE,mbcA,Rv2989,sigH,whiB4,whiB4,Rv3736,Acid Shock,prpR",https://mycobrowser.epfl.ch/genes/Rv0467
Rv2428,0.1862723452,ahpC,alkyl hydroperoxide reductase subunit AhpC,"Post-translational modification, protein turnover,and chaperones",Op1536,"Rv0081,senX3,regX3,mprA,mprB,Rv1816,moaR1,sigH,whiB4,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv2428
Rv2429,0.1831118918,ahpD,alkyl hydroperoxide reductase AphD,"Post-translational modification, protein turnover,and chaperones",Op1536,"Rv0047c,Rv0081,senX3,regX3,mprA,mprB,Rv1353c,sigH,lsr2,whiB4,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv2429
Rv1057,0.15162192600000002,Rv1057,hypothetical protein,Function unknown,Op687,"Rv0023,Rv0081,trcR,Rv1816,mbcA,Rv2021c,Rv2034,Rv2720 ,sigH,Rv3249c,lsr2,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv1057
Rv2450c,0.1422309945,rpfE,resuscitation-promoting factor RpfE,Cell wall/membrane/envelope biogenesis,Op1551,"csoR,sigH,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv2450c
Rv0468,0.13770994550000001,fadB2,3-hydroxybutyryl-CoA dehydrogenase,Lipid transport and metabolism,Op311,"Rv0081,Rv0465c,Rv1776c,Rv2034,Rv2989,Rv3249c,lsr2,whiB4,Rv3736,espR,Acid Shock",https://mycobrowser.epfl.ch/genes/Rv0468
Rv0211,0.09892991620000001,pckA,phosphoenolpyruvate carboxykinase,Energy production and conversion,Op148,"Rv0023,Rv0081,csoR,trcR,Rv1353c,Rv3249c,kstR",https://mycobrowser.epfl.ch/genes/Rv0211
Rv3484,0.09363785670000001,Rv3484,hypothetical protein,Transcription,Op2182,"phoP,trcR,Rv1049,Rv1353c,Rv1473A,Rv2011c,Rv2324,Rv3249c,whiB4",https://mycobrowser.epfl.ch/genes/Rv3484
Rv1779c,0.0878386371,Rv1779c,integral membrane protein,Function unknown,Op1114,"Rv0081,Rv1049,sigI,Rv1353c,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv1779c
Rv1592c,0.0860498371,Rv1592c,hypothetical protein,Function unknown,Op1010,"Rv0081,senX3,regX3,Rv0494,mprA,mprB,Rv1353c,Rv1776c,Rv1816,Rv2324,devR,sigH,whiB4",https://mycobrowser.epfl.ch/genes/Rv1592c
