locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv2352c,0.1723852938,PPE38,PPE family protein PPE38,Cell motility,Op1486,"Rv0081,iniR,tcrA,Rv0678,Rv0767c,csoR,trcR,lysG,mtrA,Rv3249c,kstR,lsr2,whiB4",https://mycobrowser.epfl.ch/genes/Rv2352c
Rv2063,0.1302371189,mazE7,antitoxin MazE7,No COG annotation,Op1292,,https://mycobrowser.epfl.ch/genes/Rv2063
Rv3922c,0.1228374307,Rv3922c,membrane protein insertion efficiency factor,Function unknown,Op2449,"Rv2034,lsr2",https://mycobrowser.epfl.ch/genes/Rv3922c
Rv0061c,0.12068396220000001,Rv0061c,hypothetical protein,No COG annotation,Op40,"Rv0135c,Rv0560c,Rv0576,Rv1186c,Rv2250c,Rv2642,sigA,sirR,Rv2884,Rv2887,Rv3050c",https://mycobrowser.epfl.ch/genes/Rv0061c
Rv2947c,0.09879417310000001,pks15,polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1846,"Rv0023,Rv0135c,Rv0302,Rv0324,csoR,sigE,Rv1353c,Rv1473A,lsr2,PDIM;PGL Synthesis",https://mycobrowser.epfl.ch/genes/Rv2947c
Rv0921,0.09782667340000001,Rv0921,resolvase,"Replication, recombination and repair",Op598,"csoR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0921
Rv1861,0.0961631222,Rv1861,transmembrane protein,Function unknown,Op1169,"Rv0023,Rv0047c,Rv0678,trcR,Rv1049,Rv2324",https://mycobrowser.epfl.ch/genes/Rv1861
Rv3221c,0.0953880174,TB7.3,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Energy production and conversion,Op2019,"Rv0081,csoR,trcR,Rv1049,Rv1353c,Rv1776c,Rv2011c,kstR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv3221c
Rv3196A,0.09334818510000001,Rv3196A,hypothetical protein,No COG annotation,Op1997,"Rv0324,phoP,Rv0767c,Rv1473A,Rv3736",https://mycobrowser.epfl.ch/genes/Rv3196A
Rv1502,0.0923064418,Rv1502,hypothetical protein,Carbohydrate transport and metabolism,Op961,"Rv0081,Rv0324,hspR,trcR,Rv1353c,Rv1719,Rv1816,higA,sigC,groEL1,espR",https://mycobrowser.epfl.ch/genes/Rv1502
Rv2805,0.0900987099,Rv2805,hypothetical protein,"Replication, recombination and repair",Op1772,"Rv0238,Rv1473A,Rv2887",https://mycobrowser.epfl.ch/genes/Rv2805
Rv2520c,0.0872595547,Rv2520c,membrane protein,Function unknown,Op1593,"Rv0023,Rv0260c,Rv0818,Rv1473A,Rv1931,Rv2175c,Rv3095,devR",https://mycobrowser.epfl.ch/genes/Rv2520c
Rv3847,0.0840440145,Rv3847,hypothetical protein,No COG annotation,Op2409,"Rv0081,Rv1353c,lsr2",https://mycobrowser.epfl.ch/genes/Rv3847
Rv0682,0.0778081751,rpsL,30S ribosomal protein S12,"Translation, ribosomal structure and biogenesis",Op445,"Rv0678,Rv1049,Rv1255c,Rv1473A,Rv1776c,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv0682
Rv3828c,0.0774075244,Rv3828c,resolvase,"Replication, recombination and repair",Op2395,"Rv0047c,Rv0324,Rv1353c,Rv2324,whiB4",https://mycobrowser.epfl.ch/genes/Rv3828c
Rv2975c,0.0763519648,Rv2975c,hypothetical protein,Function unknown,Op1862,"trcR,Rv1816,Rv3736",https://mycobrowser.epfl.ch/genes/Rv2975c
Rv3923c,0.0749216602,rnpA,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",Op2449,"Rv0081,Rv0678,Rv1049,Rv1255c,Rv2324,lsr2,tcrX,espR",https://mycobrowser.epfl.ch/genes/Rv3923c
Rv3664c,0.0718907609,dppC,dipeptide ABC transporter permease DppC,Amino acid transport and metabolism,Op2287,,https://mycobrowser.epfl.ch/genes/Rv3664c
Rv0170,0.06733603810000001,mce1B,Mce family protein Mce1B,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0081,oxyS,Rv0158,Rv0678,phoP,mprA,mprB,Rv1049,sigI,Rv1219c,Rv1473A,Rv1719,Rv1776c,Rv1816,lysG,vapB15,Rv2011c,sigC,Rv2250c,Rv2324,hrcA,Rv2642,Rv2779c,Rv2887,Rv3066,moaR1,devR,Rv3167c,Rv3249c,whiB3,kstR,lsr2,Rv3736,tcrX,espR,mce1R",https://mycobrowser.epfl.ch/genes/Rv0170
Rv2652c,0.0662666494,Rv2652c,prophage protein,"Replication, recombination and repair",Op1674,,https://mycobrowser.epfl.ch/genes/Rv2652c
Rv1662,0.06616823250000001,pks8,polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1047,"Rv0328,sigL,csoR,Rv2250c,devR,sigH",https://mycobrowser.epfl.ch/genes/Rv1662
Rv3904c,0.0658990163,esxE,ESAT-6 like protein EsxE,Function unknown,Op2441,"lsr2,sigM",https://mycobrowser.epfl.ch/genes/Rv3904c
