locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv1188,0.17570305020000002,Rv1188,proline dehydrogenase,Amino acid transport and metabolism,Op778,"Rv1186c,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv1188
Rv0074,0.1307920051,Rv0074,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op51,"Rv0081,Rv0653c,Rv1353c,Rv2250c,Rv2887,kstR",https://mycobrowser.epfl.ch/genes/Rv0074
Rv0322,0.1301439941,udgA,UDP-glucose 6-dehydrogenase UdgA,Cell wall/membrane/envelope biogenesis,Op222,"Rv0023,Rv0678,Rv3488",https://mycobrowser.epfl.ch/genes/Rv0322
Rv1187,0.1238795649,rocA,pyrroline-5-carboxylate dehydrogenase RocA,Energy production and conversion,Op778,"Rv1186c,Rv1353c",https://mycobrowser.epfl.ch/genes/Rv1187
Rv0557,0.1186426669,mgtA,GDP-mannose-dependent alpha-mannosyltransferase,Cell wall/membrane/envelope biogenesis,Op367,"Rv0047c,Rv0302,csoR,mprA,mprB,whiA",https://mycobrowser.epfl.ch/genes/Rv0557
Rv3327,0.1178932588,Rv3327,transposase fusion protein,"Replication, recombination and repair",Op2080,"Rv0302,csoR,trcR,Rv1353c,cmtR",https://mycobrowser.epfl.ch/genes/Rv3327
Rv3134c,0.1175139932,Rv3134c,universal stress protein,Signal transduction mechanisms,Op1961,"phoP,Rv0767c,trcR,Rv1353c,Rv1473A,Rv2034,Rv3066,Rv3249c,sigM",https://mycobrowser.epfl.ch/genes/Rv3134c
Rv3026c,0.11263102130000001,Rv3026c,hypothetical protein,Lipid transport and metabolism,Op1899,"Rv0047c,Rv0767c,Rv1353c,whiA,Rv1816,Rv2034",https://mycobrowser.epfl.ch/genes/Rv3026c
Rv3366,0.1069184864,spoU,tRNA/rRNA methylase SpoU,"Translation, ribosomal structure and biogenesis",Op2108,"Rv0494,mbcA",https://mycobrowser.epfl.ch/genes/Rv3366
Rv2478c,0.1002057283,Rv2478c,hypothetical protein,"Replication, recombination and repair",Op1568,"Rv0081,csoR,Rv1353c,Rv3066,Rv3488,espR",https://mycobrowser.epfl.ch/genes/Rv2478c
Rv3027c,0.1000601441,Rv3027c,GCN5-like N-acetyltransferase,Function unknown,Op1899,"whiB5,Rv0081,Rv0767c,Rv1049,whiA,Rv1816,Rv2021c,Rv2034,sigH",https://mycobrowser.epfl.ch/genes/Rv3027c
Rv1189,0.0945722305,sigI,ECF RNA polymerase sigma factor SigI,Transcription,Op779,"Rv0081,whiA,Rv1776c",https://mycobrowser.epfl.ch/genes/Rv1189
Rv3750c,0.0936406957,Rv3750c,excisionase,Transcription,Op2350,"Rv0324,senX3,regX3,trcR,Rv1473A,lsr2",https://mycobrowser.epfl.ch/genes/Rv3750c
Rv1787,0.08924801040000001,PPE25,PPE family protein PPE25,Cell motility,Op1120,"Rv0023,Rv0081,Rv0465c,Rv0678,trcR,Rv1219c,lysG,cmtR,Rv2989,lsr2,espR",https://mycobrowser.epfl.ch/genes/Rv1787
Rv3727,-0.1045303585,Rv3727,oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2331,"Rv0081,trcR,whiA,Rv1719,Rv1776c,mbcA,cmtR,Rv2034,Rv2250c,lsr2,tcrX,espR",https://mycobrowser.epfl.ch/genes/Rv3727
